,Protein families
465648,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
333502,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
316907,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
92136,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
182839,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
215492,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
490493,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
238624,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
43111,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
209848,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
21306,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
379495,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
233,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
174219,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
500844,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
422920,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
391089,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
270139,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
480154,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275152,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
208660,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
459956,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
271447,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
105989,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
143626,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
438526,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
347091,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
49087,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314002,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
178103,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
35304,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
477200,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
115428,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
321215,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
419720,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
35092,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
423350,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
492273,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
396290,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314532,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
313066,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314204,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
336150,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
68020,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
276084,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
106346,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
420710,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
270280,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
201175,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
10738,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
146377,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
55204,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273523,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
470305,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
48995,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
120579,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
123253,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
343562,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
346296,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314469,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275271,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
317005,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275759,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
454337,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
367572,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440142,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275427,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
5515,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
398380,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
473445,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440852,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
147570,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
290588,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
410210,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
249811,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
311249,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
58904,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
339399,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
280296,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
424919,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
405165,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
217838,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273682,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
94290,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
351704,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
46941,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
475988,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
59892,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
334446,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
313528,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
148065,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
369037,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
500156,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
408756,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
424646,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
233157,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
120677,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
274623,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
321943,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
194085,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
321467,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
48862,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
501525,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
501181,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
379205,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
5092,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
302377,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
229330,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
359328,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
186898,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
134875,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
181856,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
310390,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
443923,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
276062,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
268996,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
132642,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
439087,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
77585,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
3412,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
256421,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
178636,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22702,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
366929,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
390681,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
500112,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
460046,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275183,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
10540,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
44083,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
403916,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
214862,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
23035,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
175289,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
313151,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
48557,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
98625,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
111062,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
357840,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
178087,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
105905,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
365387,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
93447,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
2617,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
500012,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
360984,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
452719,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
23221,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
469193,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
221310,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
335716,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
183230,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
1497,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
114864,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
336364,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
500044,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
47505,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
403064,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
393959,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
379431,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
5205,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
179566,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
394114,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273467,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
501504,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
285394,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
402935,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
105962,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
216522,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
367495,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
358241,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
362705,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
119858,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
499980,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
138926,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
362034,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
150523,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275283,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
24542,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
76065,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
405763,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
260661,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
237787,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
407207,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
271849,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
382389,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
164209,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
321279,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
467624,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
46546,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22542,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
183200,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
167360,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
356076,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
471104,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
116148,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
39123,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314598,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
184092,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
313323,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
184257,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
104629,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
360499,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
464880,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
221526,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
501917,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
4529,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
291221,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
86971,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
77549,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
409894,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
35677,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
176336,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
304152,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
254932,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275756,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
20801,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
347188,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
407615,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
23710,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
462899,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
501862,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
423265,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22667,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
206941,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
404926,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
208255,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
475699,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
422075,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
159801,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
303638,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
427601,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275983,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
443181,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
259426,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
354177,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
98732,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
108225,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
464164,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
409889,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
36033,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
179657,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
328608,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
222725,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
348897,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
209735,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
501481,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
384395,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
56061,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
404794,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
313952,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
147768,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
269370,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
137445,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
226526,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
348112,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
119261,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
323507,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
353018,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
142332,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
363625,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
465682,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
354001,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
469640,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
57011,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
8224,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
128001,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
441870,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
428826,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
77550,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314671,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
111666,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
251876,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
396464,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
473035,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
469518,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
317257,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
46594,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
461065,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
246142,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
474514,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
409312,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
227466,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
71,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
452612,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
123334,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
50707,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
211319,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
398533,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
202356,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
181843,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
71377,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
377068,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
162271,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
242523,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
184066,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22540,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
33604,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
34220,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
269823,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
134184,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
30440,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
72676,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
267407,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
466830,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
106402,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
208146,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
479622,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
58986,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
406875,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
17296,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
16464,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
475124,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
320882,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
13884,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
108850,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
243149,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
475531,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
235751,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
343464,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
106531,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
479254,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
472611,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
6521,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440797,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
141110,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
306768,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
23294,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
465590,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
216164,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
173857,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22229,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
378319,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
251581,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
174337,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
410710,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
386259,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
395405,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
119426,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
284667,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
161899,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
29113,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
387995,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
362343,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
250939,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
79632,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
383479,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
267018,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
318105,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
439336,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
222864,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
44708,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
108797,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
233009,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
40868,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275930,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22742,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
500739,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
144578,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
209440,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
147327,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
235118,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
409454,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
97484,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
459744,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
300848,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
59109,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
362629,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
247467,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
136400,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
367232,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
173782,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
501937,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
236356,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
245832,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
432632,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
260290,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
232531,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
343767,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
474009,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
410396,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
19330,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
97790,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
182834,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273180,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
136036,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
460762,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275309,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
216284,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
93592,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
375090,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
355299,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
476315,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22877,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
45522,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
148071,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
424507,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
85292,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
17915,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
436205,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
337208,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
442874,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440756,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
474239,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
127884,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
150565,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
221428,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
433884,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
183210,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
331089,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
462607,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
200165,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
437512,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273395,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
460114,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
253991,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
248012,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
182816,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
65365,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
206782,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275359,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
383674,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
124280,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
405315,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
250006,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
239699,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
2199,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
134393,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
480000,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
232107,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
20384,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
134188,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
99959,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
72070,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
434675,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
355597,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
141991,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
